"1.6.1","1.6.1","1.2.90742","init0"
"1.6.2","1.6.2","1.2.90743","init1"
"1.6.3","1.6.3","1.2.90744","init2"
"1.6.4","1.6.4","1.2.90745","init3"
"1.6.5","1.6.5","1.2.90746","init4"
"1.6.6","1.6.6","1.2.90747","init5"
"1.6.7","1.6.7","1.2.90748","init6"
"1.6.8","1.6.8","1.2.90749","init7"
"1.6.9","1.6.9","1.2.90750","init8"
"1.6.10","1.6.10","1.2.90751","init9"
"1.6.11","1.6.11","1.2.90752","init10"
"1.6.12","1.6.12","1.2.23725","bitcube"
"1.6.13","1.6.13","1.2.31890","roadscape"
"1.6.14","1.6.14","1.2.1191","dele-puppy","dele puppy"
"1.6.15","1.6.15","1.2.333","spartako"
"1.6.16","1.6.16","1.2.167","fox"
"1.6.17","1.6.17","1.2.25010","bhuz"
"1.6.18","1.6.18","1.2.277","wackou"
"1.6.19","1.6.19","1.2.91689","mindphlux.witness","mindphlux witness"
"1.6.20","1.6.20","1.2.31489","elmato"
"1.6.21","1.6.21","1.2.28788","cyrano"
"1.6.22","1.6.22","1.2.564","xeldal"
"1.6.23","1.6.23","1.2.3284","harvey-xts","harvey xts"
"1.6.24","1.6.24","1.2.10285","mr.agsexplorer","mr agsexplorer"
"1.6.25","1.6.25","1.2.18513","bue"
"1.6.26","1.6.26","1.2.23043","delegate.ihashfury","delegate ihashfury"
"1.6.27","1.6.27","1.2.29205","delegate-clayop","delegate clayop"
"1.6.28","1.6.28","1.2.30889","delegate-1.lafona","delegate 1 lafona"
"1.6.29","1.6.29","1.2.32321","triox-delegate","triox delegate"
"1.6.30","1.6.30","1.2.32495","spectral"
"1.6.31","1.6.31","1.2.793","riverhead"
"1.6.32","1.6.32","1.2.31965","holytransaction"
"1.6.33","1.6.33","1.2.89292","bts-bitshares-argentina","bts bitshares argentina"
"1.6.34","1.6.34","1.2.91787","verbaltech2"
"1.6.35","1.6.35","1.2.35248","in.abit","in abit"
"1.6.36","1.6.36","1.2.5568","emski"
"1.6.37","1.6.37","1.2.9952","delegate.baozi","delegate baozi"
"1.6.38","1.6.38","1.2.10091","delegate.taolje","delegate taolje"
"1.6.39","1.6.39","1.2.6956","betaxtrade"
"1.6.40","1.6.40","1.2.23836","delegate.btsnow","delegate btsnow"
"1.6.41","1.6.41","1.2.90109","b33lz38v8"
"1.6.42","1.6.42","1.2.304","delegated-proof-of-steak","delegated proof of steak"
"1.6.43","1.6.43","1.2.6004","maqifrnswa"
"1.6.44","1.6.44","1.2.13774","checkraiser"
"1.6.45","1.6.45","1.2.31810","rnglab"
"1.6.46","1.6.46","1.2.95289","dragonball"
"1.6.47","1.6.47","1.2.35917","delegate.kencode","delegate kencode"
"1.6.48","1.6.48","1.2.376","liondani"
"1.6.49","1.6.49","1.2.20638","datasecuritynode"
"1.6.50","1.6.50","1.2.262","tao"
"1.6.51","1.6.51","1.2.25428","asimov"
"1.6.52","1.6.52","1.2.36614","banxio"
"1.6.53","1.6.53","1.2.11542","btsjohn"
"1.6.54","1.6.54","1.2.93394","omalley-crypto","omalley crypto"
"1.6.55","1.6.55","1.2.14002","bitsharesbanker"
"1.6.56","1.6.56","1.2.121","bitcrab"
"1.6.57","1.6.57","1.2.21594","billbutler"
"1.6.58","1.6.58","1.2.10423","delegate.webber","delegate webber"
"1.6.59","1.6.59","1.2.14035","xn-delegate","xn delegate"
